,sold_price,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,garage,fireplaces,sqrt_ft,kitchen_features,floor_covering,HOA,zipcode
4292,580625.0,-110.932441,31.87487,0.73,359.02,2019,3,4.0,3.0,0.0,2757.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Stainless",Ceramic Tile,50.0,85629
4293,580421.0,-110.9628,32.44746,0.19,1122.94,2018,3,3.0,3.0,0.0,2336.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Appliance Color: Stainless, Countertops: Granite","Carpet, Ceramic Tile",100.0,85755
4294,567700.0,-110.982556,32.45767,0.36,5191.0,1999,4,4.0,3.0,2.0,2776.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Ceramic Tile,88.0,85755
4295,630000.0,-110.979736,32.376294,9.54,4441.39,1963,4,2.0,2.0,1.0,2299.0,"Dishwasher, Refrigerator, Oven","Carpet, Ceramic Tile, Vinyl",0.0,85704
4296,580000.0,-110.735182,32.254379,0.67,3684.9,1999,4,3.0,3.0,1.0,3155.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",9.0,85749
4297,550000.0,-110.862124,32.312683,0.98,5969.0,1990,4,3.0,3.0,2.0,3746.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",41.0,85750
4298,565000.0,-110.088835,34.236965,1.02,3942.54,2002,4,4.0,2.5,2.0,3321.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",150.0,85901
4299,580000.0,-110.922309,32.22341,0.61,3990.0,1959,4,4.0,2.0,3.0,3730.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Mexican Tile",0.0,85716
4300,557500.0,-110.898767,32.316663,0.43,4883.54,2002,3,3.0,3.0,1.0,2787.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",80.0,85718
4301,562500.0,-110.968269,32.232371,0.28,2066.91,1917,3,4.0,0.0,2.0,2717.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Ceramic Tile, Wood",0.0,85705
